"month","metric","p05","p50","p95","maximum"
"2026-01","tempC","-12.222222222222221","3.333333333333333","17.77777777777778","22.77777777777778"
"2026-01","dewPointC","-16.666666666666668","-5.555555555555555","7.222222222222222","16.11111111111111"
"2026-01","wetBulbC","-12.792043587105791","0.46332635603165767","11.418148816240354","17.0695917800002"
"2026-02","tempC","-1.1111111111111112","11.11111111111111","22.211111111111094","27.22222222222222"
"2026-02","dewPointC","-10","0.777777777777777","11.11111111111111","15"
"2026-02","wetBulbC","-3.3028767410719677","6.780781965786902","14.002729690361994","16.19976633697486"
"2026-03","tempC","2.2777777777777786","16.11111111111111","28.88888888888889","34.44444444444444"
"2026-03","dewPointC","-8.277777777777777","7.222222222222222","17.22222222222222","18.88888888888889"
"2026-03","wetBulbC","-0.837714469578619","10.720727161657187","19.643071216251013","21.417971392730674"
"2026-04","tempC","9.444444444444445","19.444444444444443","26.666666666666664","30.555555555555554"
"2026-04","dewPointC","1.6666666666666665","14.444444444444445","20","21.11111111111111"
"2026-04","wetBulbC","6.586661051421242","15.781817120569972","21.656089230302168","22.836424916358737"
"2026-05","tempC","11.11111111111111","21.11111111111111","30","33.888888888888886"
"2026-05","dewPointC","4.444444444444445","15","21.666666666666668","22.77777777777778"
"2026-05","wetBulbC","8.27016421850107","17.04956490967776","23.514762125354384","25.530598474960627"
"2026-06","tempC","20.555555555555554","26.11111111111111","32.77777777777778","35"
"2026-06","dewPointC","15.555555555555555","21.666666666666668","23.88888888888889","25"
"2026-06","wetBulbC","17.78023972975516","22.72903063839786","25.48460681007966","26.641180905602283"
"2026-07","tempC","23.333333333333332","29.444444444444443","36.666666666666664","38.888888888888886"
"2026-07","dewPointC","18.88888888888889","21.666666666666668","23.88888888888889","25"
"2026-07","wetBulbC","21.112223805907387","24.037942507475154","26.30177843224149","28.0365828663004"
"2026-08","tempC","22.305555555555554","30.555555555555554","38.333333333333336","40.55555555555556"
"2026-08","dewPointC","15.555555555555555","19.444444444444443","22.22222222222222","23.333333333333332"
"2026-08","wetBulbC","19.252241645598275","22.838206286037074","25.26228268199626","26.21564252895605"
"2026-09","tempC","23.166666666666668","31.11111111111111","38.49999999999999","39.44444444444444"
"2026-09","dewPointC","17.61111111111111","20","21.666666666666668","22.22222222222222"
"2026-09","wetBulbC","21.052322785872676","23.016953500943437","25.10855282266104","25.877171843875132"
