"case","period","daynight","mode","hours","percentExpected"
"base","2026-01","all","MISSING_DATA","4","0.5376344086021505"
"base","all","night","MISSING_DATA","18","0.591715976331361"
"base","2026-01","night","MISSING_DATA","4","1.075268817204301"
"base","all","all","ACTIVE_HUMIDIFICATION_LIKELY","80","1.3142763265976671"
"base","2026-01","all","ACTIVE_HUMIDIFICATION_LIKELY","1","0.13440860215053763"
"base","all","night","ACTIVE_HUMIDIFICATION_LIKELY","42","1.3806706114398422"
"base","2026-01","night","ACTIVE_HUMIDIFICATION_LIKELY","1","0.26881720430107525"
"base","2026-02","all","HEAT_MAJOR_VENT_DRY","549","81.69642857142857"
"base","2026-02","night","HEAT_MAJOR_VENT_DRY","295","87.79761904761905"
"base","2026-02","day","HEAT_MAJOR_VENT_DRY","254","75.5952380952381"
"base","2026-02","all","MISSING_DATA","10","1.4880952380952381"
"base","all","day","MISSING_DATA","5","0.16420361247947454"
"base","2026-02","day","MISSING_DATA","3","0.8928571428571429"
"base","2026-02","all","PASSIVE_VENT_COOL_DRY","78","11.607142857142858"
"base","2026-02","day","PASSIVE_VENT_COOL_DRY","70","20.833333333333332"
"base","2026-02","all","ACTIVE_HUMIDIFICATION_LIKELY","13","1.9345238095238095"
"base","all","day","ACTIVE_HUMIDIFICATION_LIKELY","38","1.2479474548440066"
"base","2026-02","day","ACTIVE_HUMIDIFICATION_LIKELY","5","1.4880952380952381"
"base","2026-02","night","ACTIVE_HUMIDIFICATION_LIKELY","8","2.380952380952381"
"base","2026-02","all","NEUTRAL_MIN_VENT","3","0.44642857142857145"
"base","2026-02","night","NEUTRAL_MIN_VENT","3","0.8928571428571429"
"base","all","all","PASSIVE_HUMIDIFY_OPPORTUNITY","172","2.8256941021849844"
"base","2026-02","all","PASSIVE_HUMIDIFY_OPPORTUNITY","9","1.3392857142857142"
"base","all","night","PASSIVE_HUMIDIFY_OPPORTUNITY","95","3.1229454306377384"
"base","2026-02","night","PASSIVE_HUMIDIFY_OPPORTUNITY","9","2.6785714285714284"
"base","2026-02","night","PASSIVE_VENT_COOL_DRY","8","2.380952380952381"
